#{"t_start": 1615678322.2314985, "env_id": null}
r,l,t,is_success,time
40000,1,29406.521677,True,304
40000,1,29427.20922,True,371
40000,1,29436.372552,True,212
40000,1,29447.444586,True,196
40000,1,29466.644767,True,441
40000,1,29483.456302,True,300
3233.887694,1,29511.342218,False,500
40000,1,29517.474976,True,102
3249.567716,1,29538.193442,False,500
40000,1,29560.812186,True,405
40000,1,29574.46969,True,329
3256.985668,1,29601.973279,False,500
3215.070118,1,29629.939123,False,500
40000,1,29635.992621,True,102
3232.639802,1,29656.683638,False,500
40000,1,29662.720742,True,102
40000,1,29668.929778,True,102
40000,1,29679.863806,True,193
3239.452237,1,29707.131145,False,500
40000,1,29713.218167,True,102
40000,1,29719.341645,True,102
40000,1,29725.357897,True,102
3239.819435,1,29745.827183,False,500
3250.761211,1,29773.783565,False,500
40000,1,29779.244242,True,121
3248.218308,1,29806.689314,False,500
40000,1,29814.334282,True,130
40000,1,29819.005168,True,102
3251.648826,1,29841.904506,False,500
40000,1,29847.046386,True,112
40000,1,29853.012283,True,102
40000,1,29859.10622,True,102
40000,1,29865.127787,True,102
3245.096661,1,29892.680976,False,500
40000,1,29898.707028,True,101
40000,1,29904.771499,True,102
40000,1,29910.85579,True,102
3230.668016,1,29938.424334,False,500
40000,1,29944.537641,True,102
40000,1,29950.595889,True,102
40000,1,29957.265559,True,113
3245.695407,1,29977.763711,False,500
3237.637109,1,30005.193693,False,500
40000,1,30010.420595,True,116
40000,1,30034.280439,True,434
3258.353946,1,30055.207777,False,500
3241.52169,1,30083.102212,False,500
3260.750887,1,30103.858973,False,500
3224.556038,1,30124.575238,False,500
3223.326091,1,30152.32414,False,500
40000,1,30173.677603,True,381
3239.63123,1,30193.850704,False,500
3262.962425,1,30221.206988,False,500
3254.79517,1,30248.758181,False,500
40000,1,30254.780222,True,102
40000,1,30259.468121,True,102
3211.067294,1,30287.236923,False,500
40000,1,30293.287127,True,102
40000,1,30298.420824,True,113
40000,1,30304.472946,True,102
3170.634501,1,30332.261283,False,500
40000,1,30338.398342,True,102
40000,1,30344.437177,True,102
40000,1,30350.480388,True,102
40000,1,30356.547345,True,102
3240.939474,1,30384.16959,False,500
40000,1,30400.478089,True,290
3243.666251,1,30421.215347,False,500
3246.529436,1,30444.024395,False,500
3254.93183,1,30471.742768,False,500
40000,1,30477.885153,True,102
3256.527741,1,30498.878869,False,500
3244.797859,1,30526.411889,False,500
3249.605168,1,30547.221737,False,500
3253.803965,1,30574.579657,False,500
3239.593258,1,30595.147969,False,500
3257.219184,1,30622.524917,False,500
3254.0276,1,30650.027515,False,500
3237.887659,1,30677.974113,False,500
3231.44547,1,30705.621137,False,500
40000,1,30710.240808,True,102
2933.119449,1,30738.522819,False,500
3253.636468,1,30766.050824,False,500
3251.557869,1,30793.898467,False,500
3249.50185,1,30814.503649,False,500
40000,1,30820.512082,True,102
3236.86776,1,30848.287967,False,500
40000,1,30852.979584,True,102
3210.868103,1,30873.609971,False,500
3227.758657,1,30901.263774,False,500
3249.252537,1,30928.774354,False,500
40000,1,30938.776893,True,174
40000,1,30956.947265,True,327
40000,1,30963.067539,True,102
40000,1,30978.864174,True,318
3151.115953,1,31006.349105,False,500
40000,1,31012.423233,True,102
40000,1,31037.018218,True,444
40000,1,31052.97104,True,279
40000,1,31070.56134,True,308
40000,1,31076.693793,True,102
40000,1,31082.864945,True,102
40000,1,31088.883168,True,102
40000,1,31112.822533,True,426
3247.542786,1,31140.515739,False,500
40000,1,31154.540764,True,335
3224.603722,1,31181.95198,False,500
3248.208048,1,31209.724084,False,500
3246.665565,1,31237.265949,False,500
40000,1,31243.313277,True,102
40000,1,31249.325566,True,101
3235.484738,1,31276.856062,False,500
40000,1,31282.877904,True,102
40000,1,31293.888779,True,194
40000,1,31305.669016,True,206
3256.474385,1,31333.784562,False,500
40000,1,31339.848438,True,102
40000,1,31346.186861,True,106
40000,1,31351.683196,True,118
3247.567152,1,31372.671179,False,500
40000,1,31379.095873,True,109
40000,1,31398.105202,True,346
40000,1,31404.219504,True,102
3257.997259,1,31431.932672,False,500
3261.021882,1,31459.486247,False,500
40000,1,31464.137752,True,102
3244.804714,1,31491.882425,False,500
40000,1,31497.854477,True,102
40000,1,31503.815327,True,102
40000,1,31509.1803,True,119
3247.254347,1,31536.583075,False,500
40000,1,31542.593848,True,102
40000,1,31561.059433,True,328
3259.228858,1,31588.604288,False,500
40000,1,31593.233286,True,102
40000,1,31597.855139,True,102
40000,1,31616.866381,True,341
40000,1,31641.209063,True,445
40000,1,31647.238741,True,101
40000,1,31664.960419,True,425
40000,1,31671.055938,True,102
3251.790582,1,31698.88456,False,500
3248.205379,1,31726.725832,False,500
3228.924746,1,31754.185368,False,500
40000,1,31760.237602,True,102
40000,1,31766.255275,True,102
3249.550652,1,31786.739594,False,500
40000,1,31792.795962,True,102
3229.176269,1,31820.67454,False,500
40000,1,31826.762095,True,102
40000,1,31831.407041,True,102
40000,1,31837.386659,True,102
40000,1,31841.981559,True,102
40000,1,31847.824572,True,99
3243.253319,1,31875.534525,False,500
40000,1,31886.556195,True,193
40000,1,31892.994889,True,110
3236.267563,1,31913.732884,False,500
40000,1,31919.911597,True,102
3254.942747,1,31940.582775,False,500
3229.989814,1,31961.029507,False,500
40000,1,31965.67925,True,102
40000,1,31978.691432,True,311
3238.783642,1,31999.196258,False,500
40000,1,32019.075145,True,360
40000,1,32025.186627,True,102
40000,1,32031.197196,True,102
3258.361025,1,32058.594547,False,500
40000,1,32079.607434,True,378
3232.171799,1,32107.154286,False,500
40000,1,32118.189985,True,194
40000,1,32124.271015,True,102
40000,1,32130.230983,True,102
40000,1,32136.275144,True,102
40000,1,32140.873785,True,102
2921.286632,1,32169.089542,False,500
